"","close","adjOpen","adjClose","avg_price7","change"
"1",132.045,120.1113601,121.6825575,120.3352,"Decrease"
"2",131.78,121.5120757,121.4383538,120.3352,"Decrease"
"3",130.28,120.931516,120.0560687,120.3352,"Increase"
"4",130.535,120.9038703,120.2910572,120.3352,"Increase"
"5",129.96,119.6690289,119.7611812,120.3352,"Increase"
"6",130.12,120.4062476,119.908625,120.3352,"Increase"
"7",129.36,119.4110023,119.2082672,120.335158657143,"Increase"
"8",128.65,119.3372805,118.5539856,119.888219814286,"Increase"
"9",127.8,118.7843664,117.7706907,119.364267942857,"Increase"
"10",127.42,116.757015,117.4205118,118.987759814286,"Increase"
"11",128.88,117.8812735,118.765936,118.769885357143,"Increase"
"12",128.59,119.042393,118.4986942,118.589530071429,"Increase"
"13",127.17,118.1254772,117.1901309,118.201173771429,"Increase"
"14",126.92,116.2041009,116.9597501,117.879957042857,"Increase"
"15",127.6,117.0611177,117.586386,117.741728528571,"Increase"
"16",127.3,117.6969688,117.309929,117.675905428571,"Increase"
"17",127.88,117.2454224,117.8444126,117.736462685714,"Decrease"
"18",126.6,117.6877536,116.6648626,117.436309342857,"Increase"
"19",127.61,117.4850184,117.5956012,117.307296057143,"Decrease"
"20",127.03,117.4758032,117.0611177,117.2888656,"Increase"
"21",128.11,117.2269919,118.0563629,117.445524571429,"Decrease"
"22",127.5,118.7475055,117.4942337,117.432359957143,"Decrease"
"23",126.75,117.6508927,116.8030911,117.359954542857,"Increase"
"24",124.53,115.6143259,114.7573092,116.918939771429,"Increase"
"25",125.425,115.7156935,115.5820726,116.764255485714,"Increase"
"26",126.6,116.9413196,116.6648626,116.631292828571,"Decrease"
"27",126.44,116.5082036,116.5174189,116.553621571429,"Increase"
"28",126,115.1351338,116.1119486,116.2758481,"Increase"
"29",125.69,116.010581,115.8262763,116.037568471429,"Increase"
"30",122.57,114.711233,112.9511233,115.487287357143,"Increase"
"31",120.07,114.1306733,110.6473148,114.9001453,"Increase"
"32",123.28,112.3705636,113.6054049,114.6177642,"Increase"
"33",125.66,115.2180709,115.7986306,114.494016771429,"Decrease"
"34",125.61,116.1488095,115.7525544,114.384750414286,"Decrease"
"35",126.82,115.853922,116.8675978,114.4927003,"Decrease"
"36",128.51,117.7153993,118.4249723,114.863942585714,"Decrease"
"37",129.62,118.9502406,119.4478633,115.7920483,"Decrease"
"38",132.07,120.6919199,121.7055956,117.3718027,"Decrease"
"39",130.75,122.4243839,120.4891847,118.355199814286,"Decrease"
"40",125.22,112.4166397,115.3931603,118.297275485714,"Increase"
